id,n.trt,inoc,rep,block,leaf.biomass,stem.biomass,root.biomass,nodule.biomass,focal.n,focal.c,leaf.n,leaf.c,stem.n,stem.c,root.n,root.c,nodule.n,nodule.c,total.leaf.n,total.stem.n,total.root.n,total.root.c,total.nod.n,total.nod.c,wp.total.n,bg.total.c,n.cost,total.biomass,nod.root.biomass,total.leaf.area,bvr
r11_hn_yi,630,yi,11,3,2.2098,1.8852,NA,NA,6.814,44.784,5.391,45.894,1.581,46.253,NA,NA,NA,NA,0.119130318,0.029805012,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112.363,NA
r11_ln_ni,70,ni,11,3,1.2463,1.031,1.4822,0,0.876,NA,3.833,43.855,1.167,46.056,0.628,44.543,NA,NA,0.047770679,0.01203177,0.009308216,0.660216346,0,0,0.069110665,0.660216346,9.553031301,3.7595,0,584.734,0.626583333
r11_ln_yi,70,yi,11,3,1.1986,0.8642,NA,NA,5.992,44.666,4.337,44.094,1.319,44.293,NA,NA,NA,NA,0.051983282,0.011398798,NA,NA,NA,NA,NA,NA,NA,NA,NA,1206.616,NA
r12_hn_ni,630,ni,12,3,2.2397,1.8198,0.4503,0,7.128,44.79,5.737,44.889,2.266,45.584,0.997,46.695,NA,NA,0.128491589,0.041236668,0.004489491,0.210267585,0,0,0.174217748,0.210267585,1.206924021,4.5098,0,1102.511,0.751633333
r12_hn_yi,630,yi,12,3,2.2992,1.613,0.2295,0.0059,6.968,44.738,5.797,45.743,2.184,45.277,0.871,46.604,2.804,45.249,0.133284624,0.03522792,0.001998945,0.10695618,0.000165436,0.002669691,0.170676925,0.109625871,0.642300481,4.1476,0.025708061,1171.403,0.691266667
r12_ln_ni,70,ni,12,3,1.2245,1.0741,0.8432,0,3.624,44.092,3.101,43.467,1.1,46.159,1.208,44.321,NA,NA,0.037971745,0.0118151,0.010185856,0.373714672,NA,NA,0.059972701,0.373714672,6.231413056,3.1418,NA,482.058,0.523633333
r12_ln_yi,70,yi,12,3,1.7077,1.2806,0.8609,0.0718,5.042,45.224,4.628,45.255,1.458,43.854,0.949,45.935,3.502,48.065,0.079032356,0.018671148,0.008169941,0.395454415,0.002514436,0.03451067,0.108387881,0.429965085,3.96691107,3.921,0.083401092,807.28,0.6535
r13_hn_ni,630,ni,13,4,2.7707,2.2891,2.5998,0,5.177,46.837,5.481,45.793,1.571,45.963,0.739,44.406,NA,NA,0.151862067,0.035961761,0.019212522,1.154467188,0,0,0.20703635,1.154467188,5.576156979,7.6596,0,1391.083,1.2766
r13_hn_yi,630,yi,13,4,2.5234,1.9402,0.7209,0.0053,NA,NA,5.55,45.613,1.808,46.434,0.934,45.904,3.549,47.141,0.1400487,0.035078816,0.006733206,0.330921936,0.000188097,0.002498473,0.182048819,0.333420409,1.831488997,5.1898,0.007351921,1107.551,0.864966667
r13_ln_ni,70,ni,13,4,1.0913,1.0214,0.7342,NA,4.064,43.357,3.374,43.202,1.259,46.308,NA,NA,NA,NA,0.036820462,0.012859426,NA,NA,NA,NA,NA,NA,NA,2.8469,NA,528.544,0.474483333
r13_ln_yi,70,yi,13,4,1.7048,1.5117,1.165,0.0667,4.773,44.096,4.272,44.79,0.987,43.995,0.737,44.472,3.559,49.693,0.072829056,0.014920479,0.00858605,0.5180988,0.002373853,0.033145231,0.098709438,0.551244031,5.584511898,4.4482,0.057253219,830.599,0.741366667
r14_hn_ni,630,ni,14,4,2.6121,2.1122,NA,NA,6.06,43.858,5.342,45.172,1.631,43.534,NA,NA,NA,NA,0.139538382,0.034449982,NA,NA,NA,NA,NA,NA,NA,NA,NA,1258.692,NA
r14_hn_yi,630,yi,14,4,2.7724,2.3408,0.6858,0.0412,6.249,44.814,5.623,45.319,1.656,43.108,0.965,45.981,3.531,45.913,0.155892052,0.038763648,0.00661797,0.315337698,0.001454772,0.018916156,0.202728442,0.334253854,1.648776317,5.8402,0.060075824,1333.938,0.973366667
r14_ln_ni,70,ni,14,4,1.3965,1.2785,0.9045,0,3.381,43.169,2.668,43.296,0.826,44.991,0.88,45.981,NA,NA,0.03725862,0.01056041,0.0079596,0.415898145,0,0,0.05577863,0.415898145,7.456227322,3.5795,0,583.404,0.596583333
r14_ln_yi,70,yi,14,4,1.7689,1.3164,0.3665,0.0074,5.682,44.08,5.714,45.879,1.625,45.976,1.347,43.989,2.616,47.841,0.101074946,0.0213915,0.004936755,0.161219685,0.000193584,0.003540234,0.127596785,0.164759919,1.29125447,3.4592,0.020190996,915.991,0.576533333
r15_hn_ni,630,ni,15,4,2.4085,1.9342,1.8954,0,6.272,43.911,4.857,45.401,1.329,43.854,0.786,44.533,NA,NA,0.116980845,0.025705518,0.014897844,0.844078482,0,0,0.157584207,0.844078482,5.35636469,6.2381,0,1186.824,1.039683333
r15_hn_yi,630,yi,15,4,2.9478,2.4125,1.0094,0.0207,5.858,44.805,5.221,45.9,1.56,44.026,NA,NA,2.933,47.566,0.153904638,0.037635,NA,NA,0.000607131,0.009846162,NA,NA,NA,6.3904,0.020507232,1345.109,1.065066667
r15_ln_ni,70,ni,15,4,1.2321,1.0391,0.6032,0,4.671,44.113,3.973,44.279,1.619,45.809,1.34,46.566,NA,NA,0.048951333,0.016823029,0.00808288,0.280886112,0,0,0.073857242,0.280886112,3.803095057,2.8744,0,523.838,0.479066667
r15_ln_yi,70,yi,15,4,1.6231,1.1133,0.7242,0.0536,5.695,46.335,5.677,45.289,1.662,46.173,1.104,46.035,3.8,48.959,0.092143387,0.018503046,0.007995168,0.33338547,0.0020368,0.026242024,0.120678401,0.359627494,2.980048551,3.5142,0.074012704,716.145,0.5857
r16_hn_ni,630,ni,16,4,2.2169,1.542,0.4211,0,6.935,43.623,5.452,45.327,2.015,43.439,1.06,45.911,NA,NA,0.120865388,0.0310713,0.00446366,0.193331221,0,0,0.156400348,0.193331221,1.236130376,4.18,0,1201.948,0.696666667
r16_hn_yi,630,yi,16,4,2.3741,1.7056,2.247,0.0078,7.742,44.652,6.186,45.679,1.841,43.07,0.8,43.694,NA,35.583,0.146861826,0.031400096,0.017976,0.98180418,NA,0.002775474,0.196237922,0.984579654,5.017275173,6.3345,0.003471295,1302.409,1.05575
r16_ln_ni,70,ni,16,4,1.607,1.4289,0.8378,0,3.948,43.815,1.951,31.529,0.796,44.354,0.919,45.668,NA,NA,0.03135257,0.011374044,0.007699382,0.382606504,0,0,0.050425996,0.382606504,7.587485312,3.8737,0,698.624,0.645616667
r16_ln_yi,70,yi,16,4,1.3051,0.8918,0.4453,0.0182,6.143,44.297,5.172,44.083,1.544,43.925,0.919,45.668,3.948,48.282,0.067499772,0.013769392,0.004092307,0.203359604,0.000718536,0.008787324,0.086080007,0.212146928,2.464531956,2.6604,0.040871323,626.985,0.4434
