NO3_percent,SPAD_mean,SPAD_SD,SPAD_group,Leaf_area_mean,Leaf_area_SD,Leaf_area_group,Leaf_weight_fresh_mean,Leaf_weight_fresh_SD,Leaf_weight_fresh_group,Leaf_weight_dry_mean,Leaf_weight_dry_SD,Leaf_weight_dry_group,Stem_weight_fresh_mean,Stem_weight_fresh_SD,Stem_weight_fresh_group,Stem_weight_dry_mean,Stem_weight_dry_SD,Stem_weight_dry_group,Root_weight_fresh_mean,Root_weight_fresh_SD,Root_weight_fresh_group,Root_weight_dry_mean,Root_weight_dry_SD,Root_weight_dry_group,SLA_mean,SLA_SD,SLA_group,SLN_mean,SLN_SD,SLN_group,Vcmax_mean,Vcmax_SD,Vcmax_group,Jmax_mean,Jmax_SD,Jmax_group,Rd_mean,Rd_SD,Rd_group
100,33.6,2.7,a,603.9,48.41,a,27.3,3.69,a,1.71,0.144,ab,5.3,0.36,a,0.32,0.073,a,2.73,0.07,c,0.19,0.693,b,353.8,35.19,c,18.2,1.81,b,56.31,4.67,a,116.96,9.86,a,1.8,1.05,ab
75,31.6,2.21,a,640.7,111.02,a,24.7,6.36,a,1.13,0.387,c,3.9,1.09,b,0.16,0.044,bc,3.3,0.06,bc,0.23,1.008,ab,462.7,22.66,b,20.5,1.0,ab,39.85,5.69,bc,100.41,9.74,ab,3.04,0.95,a
50,31.2,2.35,a,614.4,39.33,a,29.4,3.73,a,1.51,0.189,bc,5.6,0.83,a,0.28,0.058,a,4.12,0.06,b,0.21,1.387,ab,531.1,62.87,ab,22.7,2.68,a,38.42,5.87,bc,85.45,13.71,b,1.42,0.68,ab
25,33.2,2.29,a,614.7,40.24,a,25.0,3.78,a,1.13,0.18,c,3.1,0.62,bc,0.13,0.043,c,6.45,0.08,a,0.29,1.012,a,598.9,90.77,a,22.3,3.38,a,26.62,7.77,cd,64.83,7.67,bc,2.62,0.6,ab
0,33.3,2.82,a,431.6,70.74,b,15.2,2.32,b,1.29,0.177,c,2.4,0.57,c,0.2,0.044,b,2.82,0.04,c,0.2,0.593,ab,334.7,34.91,c,9.3,0.97,c,15.85,1.27,d,40.19,0.48,c,1.29,0.12,b
