fertilizer_cont,shade_cont,table,block,rep,spp,chl_wt,chl_area,focal.area,dry.wt,fresh.wt,sla,stem.wt,leaves.wt,roots.wt,nod.wt,n.leaf,c.leaf,Aamb,TPU,Vcmax,Jmax,Tleaf,TleafK,vcmax25,jmax25,jv25,marea,nmass,narea,tla,biomass,vcmax25_narea,jmax25_narea,avg_649,avg_665,chla_ug.ml,chlb_ug.ml,chla_g.ml,chlb_g.ml,chla_g,chlb_g,chla_g.m2,chlb_g.m2,chla_mol.m2,chlb_mol.m2,chla_mmol.m2,chlb_mmol.m2,chl_marea,chla_mmol.g,chlb_mmol.g,chl_mmol.g,chl_mmol.m2,chl_mmol.m2_narea,propN_rubisco,propN_bioenergetics,propN_lightharvesting,propN_photosynthesis
210,50,1,one,1,Cotton,0.0176,1.749,79.508,0.2973,1.0319,267.4335688,1.665,1.8709,0.511,0,3.913345488,38.51440827,7.699158076,15.85441944,60.3602536,100.1020805,24.99152727,298.1415273,60.40809721,100.1560291,1.657990133,37.39246365,0.039133455,1.463296289,583.701,4.0469,41.28220488,68.44548837,0.077333333,0.252333333,2.809143333,0.358146667,2.81E-06,3.58E-07,2.81E-05,3.58E-06,0.160614256,0.020477225,0.000179757,2.26E-05,0.179756528,0.179756528,100.6289308,0.001786331,0.001786331,0.003572661,0.359513057,0.245687124,0.322202575,0.054435882,0.033197924,0.40983638
210,80,2,one,1,Cotton,0.0213,1.772,72.192,0.1729,1.0323,417.5361481,0.4377,0.7727,0.1517,0,4.39821101,35.39103554,13.79897141,13.27763928,70.65447092,81.88452932,25.0098217,298.1598217,70.58961633,81.83341318,1.159284006,23.95002216,0.04398211,1.053372512,329.789,1.3621,67.01296602,77.68705969,0.151666667,0.366333333,3.942353333,1.386256667,3.94E-06,1.39E-06,3.94E-05,1.39E-05,0.222480436,0.078231189,0.000248996,8.62E-05,0.248996023,0.248996023,120.2031603,0.00207146,0.00207146,0.00414292,0.497992046,0.472759675,0.523028028,0.061785863,0.034252933,0.619066824
630,0,3,one,1,Cotton,0.026,1.81,60.841,0.2656,0.9825,229.0700301,1.0525,1.5765,0.7293,0,4.805597289,40.42719403,22.12846371,21.99790643,142.8188491,173.2360869,24.99910968,298.1491097,142.8307396,173.2458943,1.21294544,43.65477228,0.048055973,2.097872553,365.272,3.3583,68.08361137,82.58170597,0.158333333,0.428333333,4.675133333,1.203016667,4.68E-06,1.20E-06,4.68E-05,1.20E-05,0.258294659,0.066465009,0.000289079,7.32E-05,0.289078644,0.289078644,143.6464088,0.002012432,0.002012432,0.004024864,0.578157288,0.275592189,0.531384284,0.06567866,0.030455881,0.627518825
630,30,4,one,1,Cotton,0.0228,1.835,25.117,0.094,0.4144,267.2021277,0.8613,1.5387,0.1817,0,5.094472981,38.18465997,17.91137737,20.60460868,97.78379531,128.683655,24.96821727,298.1182173,98.07490863,128.9440708,1.314750863,37.42485169,0.05094473,1.906598957,404.17,2.5817,51.43971586,67.63041084,0.024333333,0.327,3.90218,-1.20455,3.90E-06,-1.20E-06,3.90E-05,-1.20E-05,0.212652861,-0.065643052,0.000237997,-7.23E-05,0.237997181,0.237997181,124.2506812,0.00191546,0.00191546,0.00383092,0.475994362,0.249656258,0.401480709,0.053787636,0.027344568,0.482612914
630,50,1,one,1,Cotton,0.0203,1.911,91.352,0.2666,1.1742,342.6556639,1.4597,2.1581,0.2274,0,4.574431142,37.91465639,15.4675565,14.31423572,76.29429232,97.64998318,24.94874545,298.0987455,76.66097616,97.96893406,1.277950516,29.18381645,0.045744311,1.334993588,758.797,3.8452,57.42422799,73.3853218,0.107333333,0.301333333,3.302953333,0.757166667,3.30E-06,7.57E-07,3.30E-05,7.57E-06,0.172839002,0.03962149,0.000193438,4.37E-05,0.19343824,0.19343824,106.2271062,0.001820988,0.001820988,0.003641975,0.386876481,0.289796509,0.448189097,0.058364617,0.028951241,0.535504954
630,80,2,one,1,Cotton,0.0149,1.289,46.281,0.0905,0.5527,511.3922652,0.2549,0.366,0.0387,0,NA,NA,9.123234047,8.459106423,46.14357223,51.34184981,24.97909179,298.1290918,46.23389003,51.41016801,1.111958522,19.55446079,NA,NA,157.753,0.6596,NA,NA,0.126333333,0.293,3.13582,1.21931,3.14E-06,1.22E-06,3.14E-05,1.22E-05,0.243275407,0.094593483,0.000272269,0.000104239,0.272269373,0.272269373,115.5934833,0.002355404,0.002355404,0.004710808,0.544538746,NA,NA,NA,NA,NA
0,0,3,one,2,Cotton,0.0283,2.03,32.042,0.1701,0.5879,188.3715461,1.0732,1.1547,0.7469,0,2.394706906,39.65379737,17.87479194,16.49881883,96.68314863,109.8537493,25.05712962,298.2071296,96.1682735,109.4556835,1.138168333,53.08657389,0.023947069,1.271267851,221.707,2.9748,75.64753048,86.09962363,0.150333333,0.395333333,4.300463333,1.202656667,4.30E-06,1.20E-06,4.30E-05,1.20E-05,0.211845484,0.059244171,0.000237094,6.53E-05,0.23709358,0.23709358,139.408867,0.001700707,0.001700707,0.003401413,0.474187159,0.373003344,0.59041975,0.068476521,0.051650476,0.710546747
0,30,4,one,2,Cotton,0.0261,1.835,18.459,0.0907,0.3401,203.5170893,0.7685,0.7934,0.3502,0,2.426471092,40.67239609,11.63083949,13.75367202,64.7410701,81.40064983,25.06836716,298.2183672,64.32873514,81.04783862,1.259901014,49.13592286,0.024264711,1.192268964,190.524,1.9121,53.95488525,67.97781464,0.122,0.322333333,3.508343333,0.967966667,3.51E-06,9.68E-07,3.51E-05,9.68E-06,0.191190372,0.052750227,0.000213977,5.81E-05,0.213976757,0.213976757,142.2343324,0.001504396,0.001504396,0.003008792,0.427953515,0.358940413,0.4211113,0.054063933,0.045090426,0.520265659
0,50,1,one,2,Cotton,0.0264,2.06,27.651,0.1162,0.4453,237.9604131,0.7328,1.0049,0.4762,0,2.634273812,39.75860096,13.12742492,12.00718586,66.12123319,76.71165357,24.94581965,298.0958196,66.45721803,76.9765508,1.158287287,42.0237966,0.026342738,1.107021869,243.336,2.2139,60.03243468,69.53480592,0.132,0.346,3.76234,1.06196,3.76E-06,1.06E-06,3.76E-05,1.06E-05,0.182637864,0.051551456,0.000204405,5.68E-05,0.204404947,0.204404947,128.1553398,0.001594978,0.001594978,0.003189956,0.408809894,0.369288002,0.468545832,0.055302235,0.044034299,0.567882365
0,80,2,one,2,Cotton,0.0207,2.001,21.367,0.0538,0.275,397.1561338,0.3702,0.603,0.2338,0,4.288534131,39.78327065,7.886427904,10.5849145,51.42336106,60.80114611,25.21102639,298.3610264,50.42028686,59.99274592,1.189853324,25.17901437,0.042885341,1.079810625,168.379,1.207,46.69363839,55.55858085,0.120666667,0.306,3.31384,1.02554,3.31E-06,1.03E-06,3.31E-05,1.03E-05,0.165609195,0.051251374,0.000185347,5.65E-05,0.185346773,0.185346773,103.4482759,0.001791685,0.001791685,0.003583371,0.370693547,0.343294961,0.364438153,0.044186701,0.030384368,0.439009222
70,0,3,one,2,Cotton,0.0254,1.83,31.531,0.1365,0.5952,230.996337,0.7029,1.1533,0.4729,0,4.218868817,38.21042241,18.53062052,15.67783697,96.95784599,119.2752979,25.02093372,298.1709337,96.76827165,119.1166782,1.230947666,43.29072976,0.042188688,1.826379098,225.611,2.3291,52.9836723,65.22012777,0.202333333,0.516,5.59199,1.70419,5.59E-06,1.70E-06,5.59E-05,1.70E-05,0.305573224,0.093125137,0.000341992,0.000102621,0.341991946,0.341991946,138.7978142,0.002463958,0.002463958,0.004927915,0.683983893,0.374502694,0.413531101,0.051870696,0.042475112,0.507876909
70,30,4,one,2,Cotton,0.024,2.013,32.81,0.1343,0.503,244.3037975,0.9866,1.109,0.4924,0,NA,NA,17.63440916,17.25047254,95.51065566,111.7522778,25.01073314,298.1607331,95.41485437,111.6760461,1.170426207,40.93264248,NA,NA,301.252,2.588,NA,NA,0.168666667,0.430333333,4.663863333,1.419606667,4.66E-06,1.42E-06,4.66E-05,1.42E-05,0.2316872,0.070521941,0.0002593,7.77E-05,0.259300064,0.259300064,119.2250373,0.002174879,0.002174879,0.004349759,0.518600127,NA,NA,NA,NA,NA
70,50,1,one,2,Cotton,0.025,1.891,20.978,0.0917,0.3793,228.7677208,0.6315,0.9012,0.2551,0,3.452274655,38.81624051,12.79141805,14.19626104,69.62170465,86.18613621,24.98719853,298.1371985,69.7051029,86.25632903,1.237446406,43.71246068,0.034522747,1.509074201,226.239,1.7878,46.19063983,57.15844123,0.160666667,0.391,4.21199,1.45294,4.21E-06,1.45E-06,4.21E-05,1.45E-05,0.222738763,0.076834479,0.000249285,8.47E-05,0.249285137,0.249285137,132.2051824,0.001885593,0.001885593,0.003771186,0.498570274,0.33038155,0.360512311,0.045459098,0.039722801,0.44569421
70,80,2,one,2,Cotton,0.0277,2,47.874,0.1533,0.7173,312.2896282,0.4739,0.5444,0.1615,0,3.327362789,34.55759645,14.0709573,13.33653992,71.071888,84.04678813,24.97329971,298.1232997,71.24959187,84.18964271,1.181615789,32.02155658,0.033273628,1.065473358,152.914,1.1798,66.87130309,79.01618756,0.239666667,0.612666667,6.641556667,2.010883333,6.64E-06,2.01E-06,6.64E-05,2.01E-05,0.332077833,0.100544167,0.000371655,0.000110796,0.371655419,0.371655419,138.5,0.002683433,0.002683433,0.005366865,0.743310838,0.697634373,0.521922366,0.062842942,0.058652677,0.643417985
210,0,3,one,2,Cotton,0.0308,2.052,54.122,0.2597,1.1645,208.4020023,0.7557,1.2493,0.5056,0,4.693364895,37.91005558,19.29603727,20.96071087,117.1522892,141.1535628,25.16317918,298.3131792,115.3806036,139.6993206,1.210769542,47.98418388,0.046933649,2.252072842,263.971,2.5106,51.23306914,62.03143965,0.227666667,0.611333333,6.666703333,1.754096667,6.67E-06,1.75E-06,6.67E-05,1.75E-05,0.324888077,0.085482294,0.000363609,9.42E-05,0.363608775,0.363608775,150.0974659,0.002422484,0.002422484,0.004844969,0.72721755,0.322910315,0.399867857,0.049334678,0.037538246,0.48674078
210,30,4,one,2,Cotton,0.0199,1.953,72.93,0.2388,1.0573,305.4020101,0.7344,1.3532,0.2816,0,4.841890118,39.41221866,15.40534635,16.25706048,92.70834563,102.7739407,24.96999413,298.1199941,92.96889304,102.9702806,1.107577785,32.74372686,0.048418901,1.585415275,314.586,2.3692,58.64008914,64.94846001,0.162333333,0.447,4.88888,1.19167,4.89E-06,1.19E-06,4.89E-05,1.19E-05,0.250326677,0.061017409,0.000280161,6.72E-05,0.280161024,0.280161024,101.8945212,0.00274952,0.00274952,0.00549904,0.560322049,0.35342289,0.457678744,0.051654634,0.041298973,0.550632352
210,50,1,one,2,Cotton,0.0284,2.072,71.734,0.2944,1.2943,243.6616848,0.9221,0.9916,0.3741,0,3.926729363,34.63997138,13.8119706,12.7985914,75.09272155,79.44611481,25.01260968,298.1626097,75.00424055,79.38245083,1.058372837,41.04051077,0.039267294,1.611549787,234.761,2.2878,46.54168375,49.25845386,0.229,0.585333333,6.345163333,1.921736667,6.35E-06,1.92E-06,6.35E-05,1.92E-05,0.306233752,0.092747909,0.000342731,0.000102205,0.342731197,0.342731197,137.0656371,0.00250049,0.00250049,0.005000979,0.685462394,0.425343603,0.363252166,0.039176101,0.04631177,0.448740037
210,80,2,one,2,Cotton,0.0282,1.899,66.791,0.2356,1.141,283.4932088,0.612,0.7626,0.2348,0,3.64058714,33.83031522,14.15525182,12.52634284,75.35205234,86.1304222,24.97661261,298.1266126,75.51705126,86.25863549,1.142240515,35.2742136,0.036405871,1.284188484,239.693,1.6094,58.80527057,67.16976252,0.197666667,0.507666667,5.506506667,1.645903333,5.51E-06,1.65E-06,5.51E-05,1.65E-05,0.289968755,0.086672108,0.000324528,9.55E-05,0.324527711,0.324527711,148.4992101,0.002185383,0.002185383,0.004370767,0.649055423,0.505420685,0.458967965,0.053421275,0.043656962,0.556046203
630,0,3,one,2,Cotton,0.0295,1.968,22.454,0.1356,0.4961,165.5899705,1.1454,1.7038,0.855,0,4.798230299,38.97466636,21.05673318,23.88140804,159.377408,174.3837114,24.97273167,298.1227317,159.7843963,174.6864252,1.093263355,60.39013093,0.047982303,2.89765756,332.127,3.7042,55.14260845,60.28539314,0.243666667,0.656,7.15599,1.86831,7.16E-06,1.87E-06,7.16E-05,1.87E-05,0.363617378,0.094934451,0.000406954,0.000104614,0.406953899,0.406953899,149.898374,0.002714865,0.002714865,0.005429731,0.813907797,0.280884742,0.430381334,0.047946017,0.041149495,0.519476845
630,30,4,one,2,Cotton,0.0184,1.861,46.052,0.1706,0.8038,269.9413834,0.7167,1.3589,0.3114,0,4.682355289,37.62225784,15.1153439,14.40780721,73.66722603,91.07140169,25.15669795,298.3066979,72.59703182,90.17014668,1.24206382,37.04507947,0.046823553,1.734582238,372.533,2.387,41.85274716,51.98378302,0.164333333,0.424,4.60161,1.35801,4.60E-06,1.36E-06,4.60E-05,1.36E-05,0.247265449,0.072972058,0.000276735,8.04E-05,0.276734954,0.276734954,98.87157442,0.002798933,0.002798933,0.005597867,0.553469908,0.319079658,0.326655588,0.041343602,0.04347359,0.41147278
630,50,1,one,2,Cotton,0.0274,2.175,73.388,0.2848,1.1011,257.6825843,1.0312,1.0264,0.5302,0,3.739359102,34.32095981,8.037002724,9.163213026,52.08755984,51.82722349,24.97365425,298.1236543,52.2160646,51.91414333,0.994217847,38.80743445,0.037393591,1.451149332,258.806,2.5878,35.98255771,35.77450106,0.177333333,0.472666667,5.150006667,1.384973333,5.15E-06,1.38E-06,5.15E-05,1.38E-05,0.236781916,0.063676935,0.000265002,7.02E-05,0.265001976,0.265001976,125.9770115,0.002103574,0.002103574,0.004207148,0.530003952,0.36523047,0.280839475,0.02845208,0.040912681,0.350204236
